DATE;NTOT;NLOW;WDIR;WSPD;WMAX;PP;T;WVP;HUM;PST;PSEA
1961-03-15;9.9;9.9;6.3;232;M;0.7;-1.9;4.6;M;994.2333333;M
1961-03-16;6.6;6.6;2;195;M;1.4;-2.7;4.2;M;1002;M
1961-03-17;9.9;9.9;4;330;M;0.5;-5.1;3.6;M;1009.066667;M
1961-03-18;9.9;9.9;5.7;188;M;1.2;-1.7;4.9;M;1002.366667;M
1961-03-19;5;4.5;6.3;129;M;1;2.9;5.6;M;992.375;M
1961-03-20;7.3;6.6;5;278;M;0;-0.7;3.9;M;998.2666667;M
1961-03-21;2.7;2.4;1.5;169;M;0;-4;2.8;M;1008.375;M
1961-03-22;9.9;9.9;5;169;M;1;-1;4.7;M;1007.25;M
1961-03-23;6.5;6.5;3.3;89;M;0.8;-1;4.7;M;1004.733333;M
1961-03-24;7.7;7.7;4.5;50;M;1.4;-0.7;5.2;M;998.225;M
1961-03-25;5.3;4.5;6.3;278;M;3.4;-1.4;4.3;M;995.7;M
1961-03-26;7.7;7.7;5.8;214;M;0.1;-0.8;4.2;M;1005.9;M
1961-03-27;7.9;7.7;7.8;0;M;4;3.1;6.7;M;992.05;M
1961-03-28;6.7;6.6;5;112;M;0.2;0.9;5.5;M;998.1;M
1961-03-29;5.4;4.5;4.5;101;M;0;-1;4.5;M;1005.8;M
1961-03-30;5.2;4.5;6.8;203;M;0;0.9;4.8;M;1006.85;M
1961-03-31;9.9;9.9;6.3;180;M;10.2;2.6;6.7;M;1000.25;M
1961-04-01;7.7;7.6;2.8;130;M;1;-1.7;4.1;M;1007.75;M
1961-04-02;7.9;7.6;7.3;315;M;5;-0.7;4.4;M;998.4;M
1961-04-03;3.3;2.5;4.7;240;M;0;-1.3;4.1;M;1011.366667;M
1961-04-04;9.9;9.9;2.7;97;M;1.8;0.1;6.1;M;1007.333333;M
1961-04-05;5.6;5.4;1.7;203;M;6.6;-0.4;5;M;1013.066667;M
1961-04-06;6.9;6.6;3.7;127;M;5.7;1.1;6.1;M;1018.1;M
1961-04-07;5;4;3.5;135;M;1;5;8.7;M;1011.75;M
1961-04-08;6.5;6.5;4.7;104;M;5.3;8.9;10;M;1003.866667;M
1961-04-09;9.9;9.9;2;119;M;0;1.7;5.2;M;1003.833333;M
1961-04-10;3.7;3;3;203;M;0;-0.4;4.6;M;1005.433333;M
1961-04-11;6.6;6.6;3.3;315;M;1.4;-1.4;4.5;M;1010.233333;M
1961-04-12;7.6;7.6;2.7;233;M;1.2;-1.4;4.4;M;1012.5;M
1961-04-13;6.6;6.6;2.3;240;M;0.6;-1.9;4.3;M;1015.633333;M
1961-04-14;4;3;2.7;158;M;5.5;-0.8;4.8;M;1016.7;M
1961-04-15;3.3;2.5;2.3;128;M;0;0.8;4.7;M;1022.266667;M
1961-04-16;6.6;6.6;5;187;M;0.3;6.6;7.6;M;1010.666667;M
1961-04-17;3.9;3;1;315;M;0;4.8;7.3;M;1012.166667;M
1961-04-18;0;0;0.3;0;M;0;4.2;6;M;1016.966667;M
1961-04-19;6.5;6.5;4.7;225;M;4.4;7;8.1;M;1011.033333;M
1961-04-20;4.3;3;6.7;315;M;0.4;3.1;5.1;M;1011.333333;M
1961-04-21;6.9;6.6;4.7;330;M;0.2;-0.7;4.1;M;1021.233333;M
1961-04-22;6.3;5.4;3;195;M;0;2.8;4.5;M;1023.866667;M
1961-04-23;6.7;6.6;3.3;135;M;0;5.6;5.8;M;1022.6;M
1961-04-24;2;1.4;3.3;172;M;0;8.1;6;M;1022.7;M
1961-04-25;3.7;3;1;0;M;0;8.8;6.9;M;1024.5;M
1961-04-26;0.3;0;0.3;38;M;0;9.1;7.9;M;1024;M
1961-04-27;5.9;5.4;0;0;M;0;6.7;7.9;M;1014.366667;M
1961-04-28;8.3;7.6;3;113;M;0;5.5;7.5;M;1005.033333;M
1961-04-29;3.7;3;6.3;127;M;0;-1.9;2.9;M;1014.833333;M
1961-04-30;1;0.4;2.3;270;M;0;0.5;3.4;M;1020.2;M
1961-05-01;3;2.5;4.5;186;M;0;3.7;4.4;M;1014.65;M
1961-05-02;0.3;0;0.5;40;M;0;3.1;4;M;1021.375;M
1961-05-03;4.7;4.4;1.3;67;M;0;6.1;6;M;1022;M
1961-05-04;3;2.5;1;119;M;0;10.1;6.7;M;1019.85;M
1961-05-05;3.3;2.5;0.3;53;M;0;10.8;7.3;M;1019.566667;M
1961-05-06;2.7;2.5;4.5;95;M;0;14;6.3;M;1021.7;M
1961-05-07;6.9;6.5;6;152;M;0;14.3;7.7;M;1018.1;M
1961-05-08;9.9;9.7;4;163;M;0;14.2;9.1;M;1009.55;M
1961-05-09;9.9;9.7;3;242;M;11.5;9.9;10.9;M;1002.175;M
1961-05-10;7.4;6.5;3.5;304;M;0;9.7;8.5;M;1003.9;M
1961-05-11;4.5;4.4;3.8;282;M;0;12.1;8.6;M;1007.95;M
1961-05-12;6.7;6.5;2.5;107;M;0;12.5;9;M;1011;M
1961-05-13;9.9;9.7;8.3;192;M;10.5;10.4;11.5;M;998.925;M
1961-05-14;7.7;7.6;6;61;M;0.9;9.7;9;M;1015.35;M
1961-05-15;7.4;6.5;2.3;62;M;0;9.8;8.7;M;1016.575;M
1961-05-16;9.9;9.7;3.3;85;M;4.7;10.1;11.8;M;1004.8;M
1961-05-17;9.6;9.6;3.8;140;M;0.3;10.4;10;M;1002.4;M
1961-05-18;9.9;9.7;3.5;180;M;0;4.9;7.1;M;1008.6;M
1961-05-19;9.9;9.7;0.3;45;M;0;6.2;6.5;M;1013;M
1961-05-20;8.2;7.6;2;135;M;5.1;7.9;9.5;M;1014.325;M
1961-05-21;2.8;2.5;3;214;M;0;12.3;9.8;M;1015.525;M
1961-05-22;7.4;6.5;2;135;M;0;10.6;9.5;M;1006.6;M
1961-05-23;8.2;7.6;4.8;344;M;1;6.7;7.2;M;1007.7;M
1961-05-24;1.8;1.5;1;84;M;0;9.9;7.2;M;1013.825;M
1961-05-25;1.3;0.9;3.8;112;M;0;14.1;8.3;M;1014.5;M
1961-05-26;2.8;2.5;1.8;247;M;0;14.3;10.4;M;1013.15;M
1961-05-27;7.7;7.6;1.3;0;M;0;14.8;11.3;M;1013.35;M
1961-05-28;1.5;1.5;0.8;28;M;0;18;11.5;M;1013.825;M
1961-05-29;1.5;1.5;1.8;90;M;0;20.1;11.4;M;1013.25;M
1961-05-30;1.3;0.9;3.8;73;M;0;20.1;11.6;M;1010.925;M
1961-05-31;6.9;6.5;2;62;M;3.4;17.3;15.9;M;1007.9;M
1961-06-01;9.6;9.6;2.8;34;M;0;17.3;14.6;M;1007.05;M
1961-06-02;9.9;9.6;2.5;56;M;0;18;13.8;M;1008.025;M
1961-06-03;8.6;8.5;1.5;90;M;0;18.8;11.6;M;1010.325;M
1961-06-04;0.3;0;1.5;62;M;0;16.2;9.3;M;1017.525;M
1961-06-05;4.5;3.9;2;174;M;0;16;9.9;M;1019.675;M
1961-06-06;5.7;5.4;0.8;102;M;0;19.4;11.1;M;1019.05;M
1961-06-07;2.3;1.5;0.8;158;M;0;19.9;13.5;M;1017.275;M
1961-06-08;4;3.3;1.8;163;M;0;19.9;14;M;1015.3;M
1961-06-09;2.5;2.3;0.5;118;M;0;20.1;13.9;M;1016.2;M
1961-06-10;3.8;3.3;1.8;107;M;0;20;14.5;M;1018.625;M
1961-06-11;8.4;7.5;1.8;113;M;0;19.4;15.8;M;1018.8;M
1961-06-12;6.7;6.4;2;150;M;8.1;19.7;14.7;M;1017.266667;M
1961-06-13;6;5.4;2.5;107;M;0;20.6;13.8;M;1012.875;M
1961-06-14;7.9;7.5;3;169;M;0.3;21.7;14.8;M;1012.475;M
1961-06-15;4.7;3.9;2.8;130;M;1.9;21.2;14.8;M;1011.925;M
1961-06-16;8.4;7.5;0.3;0;M;4.1;18.4;17;M;1013.275;M
1961-06-17;8.4;7.5;1.3;208;M;0;18.1;16.5;M;1013.85;M
1961-06-18;2.7;2.3;1.8;124;M;1.4;16.7;13.8;M;1014.975;M
1961-06-19;7.2;6.4;4.5;101;M;1;14.9;14.6;M;1012.275;M
1961-06-20;2.3;1.5;3.8;202;M;0;15.1;11.3;M;1013.975;M
1961-06-21;4.5;3.3;2.5;287;M;0;14.2;10;M;1020.525;M
1961-06-22;6.4;5.4;0.8;158;M;0;13.8;11;M;1021.025;M
1961-06-23;7.5;6.4;2;135;M;0;16.7;11.5;M;1018.075;M
1961-06-24;9.4;8.5;3.8;152;M;7.4;15.1;13.9;M;1009.35;M
1961-06-25;7.5;6.4;5.3;135;M;0.9;14.6;13.3;M;1007.75;M
1961-06-26;5.2;3.9;6.3;197;M;0.2;17.3;14.1;M;1005.975;M
1961-06-27;3.3;2.3;2.5;254;M;0;18.8;12.9;M;1014.7;M
1961-06-28;0;0;3.3;141;M;0;22.7;16.8;M;1015.75;M
1961-06-29;6.5;5.4;3.8;276;M;0;18;15.7;M;1015.275;M
1961-06-30;4;3.3;3.5;315;M;0;15.5;11.2;M;1018.1;M
1961-07-01;3.3;2.4;4.7;323;M;0;16.9;8.2;M;1017.766667;M
1961-07-02;7.2;6.1;2.8;282;M;9.7;14.2;13;M;1015.6;M
1961-07-03;3;2.4;2.5;315;M;0.9;17.6;14.8;M;1011.525;M
1961-07-04;5.6;5;4;165;M;0;22.7;17.1;M;1008.033333;M
1961-07-05;5.5;4;0;0;M;0;22;19.3;M;1008.175;M
1961-07-06;6.3;5;2.7;218;M;0;19.3;20.1;M;1010.766667;M
1961-07-07;9.9;9.6;3.5;242;M;0;17.2;18;M;1011.65;M
1961-07-08;7.5;7;3.7;345;M;24.1;16.7;14.3;M;1013.033333;M
1961-07-09;3.8;3.3;3.3;293;M;0.4;14.4;13;M;1010.825;M
1961-07-10;2.3;1.4;1.7;165;M;0;18.4;12.9;M;1008.833333;M
1961-07-11;4.7;4;1.3;135;M;0;20.2;14.7;M;1008.766667;M
1961-07-12;9.2;8.5;2.5;231;M;0;16;16;M;1009.625;M
1961-07-13;7.6;7;5;327;M;0;17.4;15.5;M;1006.95;M
1961-07-14;5.3;4;1.7;323;M;0;20.4;14.7;M;1006.133333;M
1961-07-15;5;4;2;45;M;0;20.6;16.5;M;1005.366667;M
1961-07-16;9.2;8.5;1.5;129;M;13.5;17.2;18.9;M;1005.2;M
1961-07-17;7.2;6.1;1.5;254;M;0;19.3;19.3;M;1005.5;M
1961-07-18;3.5;3.3;0.5;79;M;0;20.3;18.2;M;1004.825;M
1961-07-19;8.9;8.5;1;28;M;2.8;18.8;19.2;M;1007.05;M
1961-07-20;6.9;6.1;0.5;57;M;0.1;19;19.5;M;1007.725;M
1961-07-21;9.9;9.6;1.3;79;M;12.8;18;18.9;M;1006.8;M
1961-07-22;6.7;6.1;1;150;M;0;20.3;17.8;M;1007.466667;M
1961-07-23;9.1;8.5;0.5;62;M;5.3;15.9;16;M;1009.5;M
1961-07-24;8.3;7;3.7;270;M;6.3;17.5;15.3;M;1013.833333;M
1961-07-25;5.5;4;1.8;158;M;3.6;15.5;14.9;M;1014.925;M
1961-07-26;4.3;3.3;1.3;231;M;0.5;15.6;13.7;M;1014.025;M
1961-07-27;5.7;5;2.8;113;M;0;14.4;13.7;M;1012.75;M
1961-07-28;9.9;9.6;3.5;175;M;0.6;17.3;16.4;M;1010.45;M
1961-07-29;4.2;3.3;4.3;192;M;0;22.3;17.4;M;1012.1;M
1961-07-30;0;0;3.3;90;M;0;23.3;18.6;M;1016.05;M
1961-07-31;0.8;0.8;1;34;M;0;24.2;21;M;1021.925;M
1961-08-01;1;1;2;150;M;0;26;19.5;M;1019.5;M
1961-08-02;1.7;1.5;1.3;90;M;0;23.8;19;M;1016.233333;M
