Daynum,Q_Moskva,Q_Lusyanka
1,2.69322580645161,0.520322580645161
2,2.58903225806452,0.507741935483871
3,2.47354838709677,0.481612903225806
4,2.34741935483871,0.464193548387097
5,2.15612903225806,0.452258064516129
6,2.19322580645161,0.464516129032258
7,2.18258064516129,0.47741935483871
8,2.16,0.458709677419355
9,2.11322580645161,0.442258064516129
10,2.10612903225806,0.446129032258065
11,2.10354838709677,0.44
12,2.08935483870968,0.431935483870968
13,2.02483870967742,0.415161290322581
14,2.07064516129032,0.427096774193548
15,2.09096774193548,0.427741935483871
16,2.04354838709677,0.413225806451613
17,2.02129032258065,0.411612903225806
18,1.94225806451613,0.399677419354839
19,1.78838709677419,0.361612903225806
20,1.67225806451613,0.334193548387097
21,1.67064516129032,0.329354838709677
22,1.7158064516129,0.334838709677419
23,1.70967741935484,0.334193548387097
24,1.67709677419355,0.329032258064516
25,1.71225806451613,0.335806451612903
26,1.76774193548387,0.349354838709677
27,1.78258064516129,0.36
28,1.75709677419355,0.360967741935484
29,1.77709677419355,0.372903225806452
30,1.77,0.363225806451613
31,1.63387096774194,0.334193548387097
32,1.56064516129032,0.328064516129032
33,1.62741935483871,0.341612903225806
34,1.67387096774194,0.355483870967742
35,1.65677419354839,0.349677419354839
36,1.60516129032258,0.341935483870968
37,1.62516129032258,0.346129032258065
38,1.71,0.362903225806452
39,1.77709677419355,0.386451612903226
40,1.84451612903226,0.420645161290323
41,1.90967741935484,0.440967741935484
42,1.99161290322581,0.466774193548387
43,2.08483870967742,0.491290322580645
44,2.07064516129032,0.495483870967742
45,2.01129032258065,0.487741935483871
46,1.89967741935484,0.449677419354839
47,1.86096774193548,0.423548387096774
48,1.74064516129032,0.410967741935484
49,1.74870967741935,0.409677419354839
50,1.70870967741935,0.389032258064516
51,1.66709677419355,0.376451612903226
52,1.65258064516129,0.373548387096774
53,1.8141935483871,0.410645161290323
54,2.09935483870968,0.470322580645161
55,2.44258064516129,0.564193548387097
56,2.86,0.664516129032258
57,3.31516129032258,0.776451612903226
58,3.74677419354839,0.866774193548387
59,4.06838709677419,0.93741935483871
60,3.96612903225806,0.927096774193548
61,3.64870967741936,0.850967741935484
